aou,SPEC,term,Estimate,std.error,p.value
3160,MODO,tmax,0.001107797,0.001276691,0.385553683
3160,MODO,deltaED,0.005769657,0.001208313,1.80E-06
3160,MODO,tmin,-0.002097355,0.001252509,0.094027686
3160,MODO,deltaProp,-0.001130162,0.001098361,0.303501702
3160,MODO,tmax:deltaED,-0.001376843,0.001185268,0.24538598
3160,MODO,deltaED:tmin,-0.00015537,0.001225691,0.899129599
7270,WBNU,tmax,-0.003975266,0.001826491,0.029521667
7270,WBNU,deltaED,-0.003966795,0.001807582,0.028197273
7270,WBNU,tmin,0.002811691,0.001869254,0.132535502
7270,WBNU,deltaProp,-0.001165636,0.001672488,0.48583584
7270,WBNU,tmax:deltaED,0.005139439,0.001664826,0.002021376
7270,WBNU,deltaED:tmin,0.000560415,0.001902882,0.768369469
4950,BHCO,tmax,0.001709631,0.001918997,0.372983911
4950,BHCO,deltaED,-0.000424012,0.001836816,0.817438518
4950,BHCO,tmin,-0.001002869,0.001836784,0.585071398
4950,BHCO,deltaProp,0.001724013,0.001646027,0.294925145
4950,BHCO,tmax:deltaED,0.001514007,0.001838422,0.410203134
4950,BHCO,deltaED:tmin,-0.000572637,0.001787455,0.748692087
7610,AMRO,tmax,0.000655129,0.001200267,0.585190142
7610,AMRO,deltaED,0.000933416,0.001206987,0.439319052
7610,AMRO,tmin,-9.46E-05,0.001119195,0.932662967
7610,AMRO,deltaProp,-0.000466343,0.001105458,0.673131125
7610,AMRO,tmax:deltaED,0.000465283,0.001085873,0.668295949
7610,AMRO,deltaED:tmin,0.001873728,0.001039381,0.071429923
7260,BRCR,tmax,0.002954847,0.002753055,0.283137613
7260,BRCR,deltaED,0.000125129,0.004114574,0.975739047
7260,BRCR,tmin,-0.002150929,0.003818871,0.573273622
7260,BRCR,deltaProp,0.008285883,0.003784512,0.02856639
7260,BRCR,tmax:deltaED,0.000227724,0.002403518,0.924516373
7260,BRCR,deltaED:tmin,0.003463494,0.002398996,0.148815957
3930,HAWO,tmax,-9.40E-05,0.001890496,0.960333716
3930,HAWO,deltaED,-0.001413771,0.002187065,0.518004754
3930,HAWO,tmin,-0.000796014,0.001906114,0.676231558
3930,HAWO,deltaProp,-0.000672537,0.001968836,0.732658339
3930,HAWO,tmax:deltaED,-0.001039987,0.001774268,0.557774645
3930,HAWO,deltaED:tmin,0.00125248,0.001717594,0.465875621
7210,HOWR,tmax,-0.001319688,0.00204462,0.518639374
7210,HOWR,deltaED,-0.00086591,0.002094436,0.679288974
7210,HOWR,tmin,0.001863933,0.001786041,0.296665179
7210,HOWR,deltaProp,-0.001391063,0.001940308,0.473418139
7210,HOWR,tmax:deltaED,0.002071192,0.001912871,0.278912226
7210,HOWR,deltaED:tmin,0.00213121,0.002152407,0.322099909
4860,CORA,tmax,0.001642285,0.002571739,0.523090081
4860,CORA,deltaED,-0.002755103,0.003011362,0.360242746
4860,CORA,tmin,0.001354533,0.002360356,0.566057079
4860,CORA,deltaProp,-0.001019625,0.002367995,0.666769609
4860,CORA,tmax:deltaED,-0.000279033,0.002287074,0.90289554
4860,CORA,deltaED:tmin,-0.002351467,0.002171037,0.278760627
7510,BGGN,tmax,-0.000939384,0.003116789,0.763113492
7510,BGGN,deltaED,-0.005517904,0.002665603,0.038448653
7510,BGGN,tmin,0.001345179,0.003461399,0.697555017
7510,BGGN,deltaProp,-0.000342437,0.002347872,0.884039886
7510,BGGN,tmax:deltaED,-0.000717465,0.002800884,0.797829868
7510,BGGN,deltaED:tmin,-0.000582927,0.003603591,0.871492647
6830,YBCH,tmax,-0.000659182,0.00270053,0.807158267
6830,YBCH,deltaED,-0.006484782,0.002362727,0.006058136
6830,YBCH,tmin,0.001759609,0.002598709,0.498337015
6830,YBCH,deltaProp,9.67E-05,0.002130708,0.963810437
6830,YBCH,tmax:deltaED,0.002465342,0.002100564,0.240532314
6830,YBCH,deltaED:tmin,-0.000234161,0.002861459,0.934779812
4050,PIWO,tmax,0.001385032,0.001915326,0.469599246
4050,PIWO,deltaED,-0.000916489,0.001677138,0.584749845
4050,PIWO,tmin,-0.003246678,0.002014168,0.106979389
4050,PIWO,deltaProp,0.001318813,0.001552498,0.395615166
4050,PIWO,tmax:deltaED,0.000888135,0.001636025,0.587225202
4050,PIWO,deltaED:tmin,-0.000913795,0.001747909,0.601118358
4930,EUST,tmax,0.000193317,0.002267488,0.932057785
4930,EUST,deltaED,0.003474552,0.002008377,0.083624953
4930,EUST,tmin,-0.003669758,0.002209223,0.096691728
4930,EUST,deltaProp,-0.003086924,0.001977545,0.118526465
4930,EUST,tmax:deltaED,-0.001286632,0.002140321,0.54774671
4930,EUST,deltaED:tmin,0.001030529,0.002179259,0.63629867
5290,AMGO,tmax,-0.000978816,0.001733843,0.572389817
5290,AMGO,deltaED,0.000328042,0.001604193,0.837970452
5290,AMGO,tmin,0.002651273,0.00169761,0.118342603
5290,AMGO,deltaProp,-0.00057171,0.001648363,0.728715276
5290,AMGO,tmax:deltaED,0.000544365,0.001807876,0.763332489
5290,AMGO,deltaED:tmin,0.001921915,0.001672601,0.250532226
4880,AMCR,tmax,-0.000742682,0.001265007,0.557138714
4880,AMCR,deltaED,0.000492077,0.001153051,0.669553226
4880,AMCR,tmin,0.001331457,0.001138932,0.242387706
4880,AMCR,deltaProp,0.002018977,0.001090742,0.064167799
4880,AMCR,tmax:deltaED,-0.00106707,0.001251015,0.393679399
4880,AMCR,deltaED:tmin,0.001371196,0.001205127,0.255203082
3940,DOWO,tmax,0.000693759,0.001731649,0.688689
3940,DOWO,deltaED,-0.000696238,0.001573514,0.658146893
3940,DOWO,tmin,0.002678834,0.001808078,0.138448909
3940,DOWO,deltaProp,-0.001468089,0.001418657,0.300741452
3940,DOWO,tmax:deltaED,-1.05E-06,0.001856549,0.999550429
3940,DOWO,deltaED:tmin,-0.001248093,0.001895867,0.510330669
6810,COYE,tmax,0.002840601,0.001835744,0.121770732
6810,COYE,deltaED,0.000788196,0.001672876,0.637524974
6810,COYE,tmin,-0.001133468,0.001917241,0.554388134
6810,COYE,deltaProp,0.000746084,0.001561067,0.632698393
6810,COYE,tmax:deltaED,-0.00151224,0.001979116,0.4448084
6810,COYE,deltaED:tmin,0.001581538,0.001803561,0.380542282
7350,BCCH,tmax,-0.000282716,0.001830039,0.877226139
7350,BCCH,deltaED,-0.003430355,0.00187087,0.066719132
7350,BCCH,tmin,-0.001367121,0.00182987,0.45499474
7350,BCCH,deltaProp,0.000532889,0.001871609,0.775856754
7350,BCCH,tmax:deltaED,-0.000664764,0.002042062,0.744775885
7350,BCCH,deltaED:tmin,0.002316479,0.001758768,0.187803984
