"aou","n","range_size","SPEC","obs_prop"
4930,648,1443,"EUST",0.449064449064449
5110,523,1265,"COGR",0.413438735177866
3160,513,1491,"MODO",0.344064386317907
4880,392,1373,"AMCR",0.285506190823015
7610,374,1367,"AMRO",0.273591806876372
4950,390,1496,"BHCO",0.260695187165775
5930,221,1037,"NOCA",0.213114754098361
6190,196,942,"CEDW",0.208067940552017
7360,107,538,"CACH",0.198884758364312
5290,232,1176,"AMGO",0.197278911564626
5980,199,1037,"INBU",0.191899710703954
4770,215,1123,"BLJA",0.191451469278718
7180,148,779,"CARW",0.189987163029525
7310,161,858,"TUTI",0.187645687645688
2890,155,858,"NOBO",0.180652680652681
6240,149,1067,"REVI",0.139643861293346
6810,171,1269,"COYE",0.134751773049645
4860,84,656,"CORA",0.128048780487805
7350,89,715,"BCCH",0.124475524475524
6710,68,561,"PIWA",0.121212121212121
7210,122,1111,"HOWR",0.10981098109811
6590,37,354,"CSWA",0.104519774011299
7510,95,913,"BGGN",0.104052573932092
5870,87,866,"EATO",0.100461893764434
7550,84,858,"WOTH",0.0979020979020979
6310,57,596,"WEVI",0.0956375838926175
3870,95,1003,"YBCU",0.094715852442672
4520,95,1042,"GCFL",0.0911708253358925
4090,85,939,"RBWO",0.0905218317358892
6740,56,631,"OVEN",0.0887480190174326
4900,32,365,"FICR",0.0876712328767123
6870,56,649,"AMRE",0.086286594761171
5070,74,863,"BAOR",0.085747392815759
6100,43,504,"SUTA",0.0853174603174603
7040,93,1095,"GRCA",0.0849315068493151
6570,16,205,"MAWA",0.0780487804878049
6540,14,189,"BTBW",0.0740740740740741
6670,21,294,"BTNW",0.0714285714285714
6830,54,778,"YBCH",0.0694087403598972
4610,61,988,"EAWP",0.0617408906882591
5950,37,605,"RBGR",0.0611570247933884
7560,23,402,"VEER",0.0572139303482587
6290,17,335,"BHVI",0.0507462686567164
6080,36,717,"SCTA",0.0502092050209205
6480,32,647,"NOPA",0.0494590417310665
3940,60,1221,"DOWO",0.0491400491400491
4120,51,1080,"NOFL",0.0472222222222222
7270,44,1009,"WBNU",0.043607532210109
6360,24,556,"BAWW",0.0431654676258993
6840,17,437,"HOWA",0.0389016018306636
7290,7,195,"BHNU",0.0358974358974359
6730,17,478,"PRAW",0.0355648535564854
4650,20,570,"ACFL",0.0350877192982456
4050,32,917,"PIWO",0.0348964013086151
6770,12,437,"KEWA",0.0274599542334096
6370,8,298,"PROW",0.0268456375838926
6390,6,281,"WEWA",0.0213523131672598
4060,16,774,"RHWO",0.020671834625323
6280,16,808,"YTVI",0.0198019801980198
6630,5,365,"YTWA",0.0136986301369863
7260,4,327,"BRCR",0.0122324159021407
6860,2,182,"CAWA",0.010989010989011
3930,12,1120,"HAWO",0.0107142857142857
6750,2,189,"NOWA",0.0105820105820106
3880,4,617,"BBCU",0.00648298217179903
4280,4,902,"RTHU",0.00443458980044346
6760,1,462,"LOWA",0.00216450216450216
