"term","term1","estimate","std.error","statistic","p.value","r2"
"tmax","(Intercept)",0.0519078905529971,0.0240185484924358,2.16115851336081,0.0348980785436776,0.25275688306465
"tmax","temp_range",0.000377268895849629,0.000495280128896009,0.76172831058369,0.449362500718185,0.25275688306465
"tmax","propFor",-0.00441279976784436,0.00724068708159124,-0.609444893574186,0.544651333313292,0.25275688306465
"tmax","log10(Brange_Area_km2)",-0.00777852937664504,0.00403081634513748,-1.92976526604309,0.0586180792230039,0.25275688306465
"tmax","migclassresid",-0.00503246275954048,0.00208125088840174,-2.41799909255778,0.018825044000617,0.25275688306465
"tmax","migclassshort",-0.00297089755201344,0.00217535057173231,-1.36570978058383,0.177395167455625,0.25275688306465
"tmax","foraging_alphbark glean",0.00542745584022033,0.00223066790696262,2.43310795985343,0.0181298127915777,0.25275688306465
"tmax","foraging_alphground glean",0.00305711686150616,0.00184711648675032,1.65507529353746,0.10340572231633,0.25275688306465
"tmax","foraging_alphhawks",0.00231565365461416,0.00351405891723113,0.658968363694583,0.51256946116133,0.25275688306465
"tmax","foraging_alphhover/glean",-0.00340011090855678,0.00261701300043302,-1.29923348030529,0.199094561760397,0.25275688306465
"deltaED","(Intercept)",0.0170695371525022,0.0189390277876092,0.901288986104655,0.371227271742761,0.194099544018974
"deltaED","temp_range",-2.16164784476845e-05,0.000390536677383576,-0.055350699945791,0.95605263122523,0.194099544018974
"deltaED","propFor",-0.0165062713810963,0.00570940304252051,-2.89106781535068,0.00542466138195044,0.194099544018974
"deltaED","log10(Brange_Area_km2)",-0.00152646738057859,0.00317836620274326,-0.480267937426813,0.632874956855499,0.194099544018974
"deltaED","migclassresid",0.000406824573185623,0.00164110118564577,0.2478973123315,0.805104732135799,0.194099544018974
"deltaED","migclassshort",0.00154701451283382,0.00171530036208493,0.901891322959574,0.37090992402208,0.194099544018974
"deltaED","foraging_alphbark glean",0.00100244828143394,0.00175891900745783,0.569922934020013,0.57096954435821,0.194099544018974
"deltaED","foraging_alphground glean",-3.12264644323224e-05,0.00145648228828367,-0.0214396458395109,0.982969824949166,0.194099544018974
"deltaED","foraging_alphhawks",-0.00204948095980898,0.00277089431535365,-0.739646022748944,0.462550264684457,0.194099544018974
"deltaED","foraging_alphhover/glean",0.00262326393370517,0.00206355858478894,1.27123307912941,0.208808958151983,0.194099544018974
"tmin","(Intercept)",0.0144427681782962,0.0288186599656034,0.5011602966805,0.618188316881975,0.243637482522099
"tmin","temp_range",0.000903586587440733,0.000594261956623624,1.52051898555744,0.133908836487248,0.243637482522099
"tmin","propFor",-0.0206036815854194,0.00868773976859722,-2.37158134730205,0.0211130682896075,0.243637482522099
"tmin","log10(Brange_Area_km2)",-0.00236102459260876,0.00483637575646574,-0.488180553269111,0.627294722976896,0.243637482522099
"tmin","migclassresid",0.000806409149233997,0.0024971892733172,0.32292672319659,0.74793239311994,0.243637482522099
"tmin","migclassshort",-0.00194682959310219,0.00261009479621458,-0.745884630675359,0.458802201101087,0.243637482522099
"tmin","foraging_alphbark glean",0.000417383237588915,0.00267646731138583,0.155945576399661,0.876626908369653,0.243637482522099
"tmin","foraging_alphground glean",-0.00203846997788173,0.00221626306707425,-0.919777984917994,0.361565018890572,0.243637482522099
"tmin","foraging_alphhawks",0.00186768727421337,0.00421634425854975,0.44296365753962,0.659468639511612,0.243637482522099
"tmin","foraging_alphhover/glean",-0.00290805916638196,0.00314002354508619,-0.926126547978524,0.35828494809753,0.243637482522099
"deltaProp","(Intercept)",0.000354016335953533,0.0141603814370756,0.0250004802149344,0.980141900736781,0.127566165987771
"deltaProp","temp_range",0.000219796862097161,0.000291997476266318,0.752735485620065,0.454706510455432,0.127566165987771
"deltaProp","propFor",0.00771283562502005,0.0042688212809416,1.80678344615982,0.0760752964382927,0.127566165987771
"deltaProp","log10(Brange_Area_km2)",-0.00079672839553239,0.00237640908933032,-0.3352656742097,0.738655485165904,0.127566165987771
"deltaProp","migclassresid",-0.00168600781001181,0.00122702279262639,-1.37406397024051,0.1748011385233,0.127566165987771
"deltaProp","migclassshort",-0.000298252024688051,0.00128250022539001,-0.232555144072081,0.816939871184002,0.127566165987771
"deltaProp","foraging_alphbark glean",0.000622855611417308,0.00131511312733912,0.473613713124083,0.637584411132492,0.127566165987771
"deltaProp","foraging_alphground glean",0.000490422957748173,0.00108898645641858,0.450348078121246,0.654167774542578,0.127566165987771
"deltaProp","foraging_alphhawks",0.00100478102475191,0.00207174945130514,0.484991572759404,0.629541088213601,0.127566165987771
"deltaProp","foraging_alphhover/glean",-0.00231356071452378,0.00154288683696219,-1.49950123307745,0.139262330092253,0.127566165987771
"tmax:deltaED","(Intercept)",0.00496656015397209,0.0242865384420492,0.204498478275236,0.838692438179248,0.136457675967936
"tmax:deltaED","temp_range",0.000169150686708585,0.000500806278689331,0.337756721324007,0.736787295713264,0.136457675967936
"tmax:deltaED","propFor",0.00406249926507848,0.00732147595052616,0.554874357647317,0.581151571596778,0.136457675967936
"tmax:deltaED","log10(Brange_Area_km2)",-0.00183725764233863,0.00407579068110014,-0.450773306602367,0.653863067804311,0.136457675967936
"tmax:deltaED","migclassresid",0.00213127477029771,0.00210447270469473,1.01273576299811,0.315466142157918,0.136457675967936
"tmax:deltaED","migclassshort",0.00306162877032318,0.0021996223169751,1.39188839224613,0.169363822900054,0.136457675967936
"tmax:deltaED","foraging_alphbark glean",-0.00024043090594659,0.00225555686227061,-0.106594921178158,0.915484630609091,0.136457675967936
"tmax:deltaED","foraging_alphground glean",0.00151989238292588,0.00186772591926329,0.813766285111787,0.41916538674485,0.136457675967936
"tmax:deltaED","foraging_alphhawks",0.00540452905015286,0.00355326746775882,1.52100259808522,0.133787604353986,0.136457675967936
"tmax:deltaED","foraging_alphhover/glean",0.00565229295618005,0.00264621264929376,2.13599347644588,0.0369876271624522,0.136457675967936
"deltaED:tmin","(Intercept)",-0.0367388102930896,0.024948590167031,-1.47258061666503,0.146364779754195,0.130957424435235
"deltaED:tmin","temp_range",1.99124163850256e-05,0.000514458272013909,0.0387056005671287,0.969260355463224,0.130957424435235
"deltaED:tmin","propFor",0.013970800022812,0.00752105959205762,1.85755741618713,0.0684002335924626,0.130957424435235
"deltaED:tmin","log10(Brange_Area_km2)",0.00468668669942531,0.00418689685036858,1.11936999331921,0.267677201386509,0.130957424435235
"deltaED:tmin","migclassresid",-0.00206520631134514,0.00216184069015897,-0.955299953759902,0.343460119400651,0.130957424435235
"deltaED:tmin","migclassshort",-0.000105005005839401,0.00225958408356183,-0.0464709441898171,0.963097327013883,0.130957424435235
"deltaED:tmin","foraging_alphbark glean",0.00179633369115987,0.00231704340614445,0.775269762489673,0.441384838471967,0.130957424435235
"deltaED:tmin","foraging_alphground glean",0.000226864296281167,0.00191864018065924,0.118242231434566,0.906291436927867,0.130957424435235
"deltaED:tmin","foraging_alphhawks",-0.00265270336244621,0.00365012963944971,-0.726742232324146,0.470358041195517,0.130957424435235
"deltaED:tmin","foraging_alphhover/glean",-0.000546990484469415,0.00271834848097326,-0.201221619780542,0.841241634471318,0.130957424435235
