"aou","param","importance"
4470,"tmax",0.923007146022998
4470,"dEDz",0.397490782551937
4470,"ppt",0.27287676083368
4470,"tmin",0.250452908723166
3091,"dEDz",0.861619838449446
3091,"tmin",0.628513707020921
3091,"tmax",0.570287696719828
3091,"ppt",0.556092842148732
7270,"dEDz",1
7270,"tmax",0.854465399865633
7270,"tmin",0.666844249945612
7270,"ppt",0.320213418326631
5080,"ppt",1
5080,"dEDz",0.651970178665528
5080,"tmax",0.406705730515887
5080,"tmin",0.365974148787051
5300,"dEDz",0.774770481433403
5300,"tmin",0.338187815421671
5300,"ppt",0.234564548375024
5300,"tmax",0.198575954554443
4130,"ppt",0.82963972983703
4130,"tmax",0.421250224271702
4130,"tmin",0.250801405399694
4130,"dEDz",0.24225901451712
3160,"tmax",1
3160,"dEDz",0.91605682846299
3160,"ppt",0.447782835198998
3160,"tmin",0.246150701595803
4980,"dEDz",0.787669583979122
4980,"tmin",0.683550285865051
4980,"tmax",0.321888067907472
4980,"ppt",0.25707639278626
5960,"dEDz",1
5960,"ppt",1
5960,"tmin",0.411415893981526
5960,"tmax",0.298276424439886
5990,"dEDz",0.604861530078671
5990,"tmin",0.251000533528325
5990,"ppt",0.23136559122817
5990,"tmax",0.228776705245962
5520,"tmin",0.863597133970993
5520,"tmax",0.61707549654369
5520,"dEDz",0.321614787816515
5520,"ppt",0.317658805247662
6140,"ppt",0.619382915001984
6140,"dEDz",0.364299797971906
6140,"tmin",0.292659496288092
6140,"tmax",0.267214578291729
4540,"dEDz",1
4540,"tmax",0.536383311275532
4540,"ppt",0.459081501400606
4540,"tmin",0.3182882885311
6882,"tmin",1
6882,"ppt",0.765670836339801
6882,"tmax",0.326232002374053
6882,"dEDz",0.2511365271604
4740,"tmax",1
4740,"tmin",0.903978458005811
4740,"dEDz",0.822170950205441
4740,"ppt",0.249203668019505
4930,"dEDz",0.944625353673486
4930,"ppt",0.807491228639776
4930,"tmin",0.490699279693244
4930,"tmax",0.255134614788937
6830,"dEDz",0.878238016005422
6830,"tmin",0.359066946510457
6830,"tmax",0.296092533541768
6830,"ppt",0.23367844003516
7030,"dEDz",1
7030,"tmax",0.500615593428689
7030,"tmin",0.318780872924858
7030,"ppt",0.288481279929414
6520,"ppt",1
6520,"tmin",0.946043567751359
6520,"tmax",0.773267035614182
6520,"dEDz",0.34687160720689
3131,"tmax",0.615650232247826
3131,"tmin",0.519121064179991
3131,"dEDz",0.442996080137064
3131,"ppt",0.266690833715073
5011,"tmin",0.96272486694737
5011,"dEDz",0.282549029400122
5011,"tmax",0.255899120627255
5011,"ppt",0.241232063698925
3600,"dEDz",0.930095463642516
3600,"ppt",0.728908576423668
3600,"tmax",0.243441922414321
3600,"tmin",0.236696247692495
2940,"tmax",0.693237571240489
2940,"ppt",0.56925920066744
2940,"dEDz",0.357165753770348
2940,"tmin",0.272885893517177
4950,"tmin",1
4950,"tmax",0.79778605396612
4950,"dEDz",0.331385542589305
4950,"ppt",0.280470995856825
5100,"tmax",1
5100,"ppt",0.942995529098222
5100,"dEDz",0.689287107072542
5100,"tmin",0.262399220717391
6130,"dEDz",0.574329379170902
6130,"ppt",0.335856114303662
6130,"tmin",0.293875765010949
6130,"tmax",0.267980969442404
7670,"dEDz",0.593469827759181
7670,"tmin",0.387109215725248
7670,"tmax",0.32284768654365
7670,"ppt",0.22998484607042
3370,"tmin",0.343178571782537
3370,"tmax",0.307499211716102
3370,"dEDz",0.238365610740046
3370,"ppt",0.237267027038213
7190,"ppt",0.464555349989739
7190,"tmin",0.316973821312548
7190,"tmax",0.245568382692605
7190,"dEDz",0.241429248445028
5190,"dEDz",1
5190,"ppt",1
5190,"tmin",1
5190,"tmax",0.345374486289832
4880,"ppt",0.50330248371194
4880,"tmax",0.363925580899516
4880,"tmin",0.36198683726255
4880,"dEDz",0.285567893136275
7610,"tmin",1
7610,"tmax",0.745561594291178
7610,"dEDz",0.544621006048726
7610,"ppt",0.368493256349237
3250,"ppt",0.412645587146295
3250,"tmax",0.346364009603886
3250,"dEDz",0.290532913429752
3250,"tmin",0.265644539204694
5290,"tmin",0.97559022508333
5290,"ppt",0.731246680253299
5290,"tmax",0.643979364654051
5290,"dEDz",0.345713718239691
6120,"tmin",0.601188451152767
6120,"ppt",0.412315489422637
6120,"dEDz",0.321336371515159
6120,"tmax",0.284292261205073
6170,"ppt",0.363522705175718
6170,"dEDz",0.274668531693255
6170,"tmax",0.269678080644799
6170,"tmin",0.257170351147964
7510,"ppt",0.533791257028092
7510,"tmax",0.431146926067058
7510,"tmin",0.273328179935653
7510,"dEDz",0.269393891984946
3390,"dEDz",0.778345544744681
3390,"tmax",0.235999846980492
3390,"ppt",0.233536521983783
3390,"tmin",0.232693560420984
6150,"tmin",0.376404846527805
6150,"dEDz",0.296665526335764
6150,"tmax",0.25487541637179
6150,"ppt",0.227224507794325
5880,"tmax",0.305478249323145
5880,"ppt",0.279834235032476
