"aou","param","importance"
4880,"dEDz",1
4880,"tmin",0.52183003998447
4880,"ppt",0.396866280787548
4880,"tmax",0.269300582319068
7610,"dEDz",1
7610,"tmin",1
7610,"tmax",0.902196965197699
7610,"ppt",0.397030570769853
6130,"ppt",0.281719939667815
6130,"tmax",0.272593196230929
6130,"tmin",0.250687918063471
6130,"dEDz",0.232229534683908
4770,"dEDz",0.606346839098911
4770,"tmax",0.338253600082672
4770,"tmin",0.320193042884871
4770,"ppt",0.229512007315472
6810,"tmax",1
6810,"tmin",1
6810,"ppt",0.854861956925082
6810,"dEDz",0.228793596061753
4740,"dEDz",1
4740,"tmax",1
4740,"tmin",1
4740,"ppt",0.414260158029093
5980,"dEDz",1
5980,"tmax",0.487119715926628
5980,"tmin",0.454289552960519
5980,"ppt",0.33110406988755
6240,"dEDz",0.718492933846163
6240,"tmin",0.539642684561673
6240,"tmax",0.296598808956768
6240,"ppt",0.233678749192057
5011,"tmin",1
5011,"ppt",0.392007020891333
5011,"dEDz",0.211838885732205
5011,"tmax",0.211697747868384
