"aou","param","Estimate","Std..Error","Adjusted.SE","z.value","Pr...z.."
4880,"(Intercept)",-0.290010606226614,0.0551555326814591,0.0551920268385448,5.25457430789763,1e-07
4880,"dEDz",-0.155143688201555,0.0290603033170619,0.0290869489421037,5.3337903714261,1e-07
4880,"ppt",0.00530970196693997,0.00730979141486566,0.00731312664012962,0.726050871019219,0.4678076
4880,"tmin",0.606244736809821,1.16765770343558,1.16829149478006,0.518915646924186,0.6038196
4880,"tmax",-0.190407003110236,0.934463518372855,0.935234965207827,0.203592690814253,0.8386718
7610,"(Intercept)",0.179448290339123,0.0793793397969421,0.0794399874497744,2.25891639840173,0.0238886
7610,"dEDz",0.0918408850106739,0.0350177363998784,0.0350491788861689,2.62034341257895,0.0087841
7610,"tmax",2.43526209843173,2.27213810372672,2.27310601745672,1.0713367875188,0.284018
7610,"tmin",-5.06831748706669,1.56485340921642,1.56626411760096,3.23592772771287,0.0012125
7610,"ppt",0.00297014913694574,0.00673126800664979,0.006735217786052,0.440987839041618,0.6592218
6130,"(Intercept)",-0.0491923671542337,0.0322049463614718,0.032230257230848,1.52627907378756,0.1269404
6130,"ppt",0.0014590143084401,0.00390511337169373,0.00390733477505086,0.373403967777784,0.7088478
6130,"tmax",0.181441307107399,0.692996472501662,0.693467404988659,0.261643598245783,0.7935962
6130,"tmin",0.101784210051823,0.551854929691591,0.552271765151741,0.184300948327237,0.8537774
6130,"dEDz",0.00112084091966415,0.0107009047127169,0.0107096171223277,0.104657422096574,0.9166476
4770,"(Intercept)",-0.084161118503274,0.0218731514769974,0.0218923020081796,3.8443247526838,0.0001209
4770,"dEDz",-0.010796079018034,0.0135421332825797,0.0135491585333237,0.796808081585397,0.4255625
4770,"tmax",0.333684473189028,0.632141109725847,0.632524421739061,0.527544015251769,0.5978159
4770,"tmin",0.0933129739955759,0.390786921403354,0.391122700872222,0.23857723877311,0.8114334
4770,"ppt",-0.000312892977060799,0.00164358905271738,0.00164514059571121,0.190192241244605,0.8491585
6810,"(Intercept)",-0.0557050996558811,0.0310249469204585,0.0310558996436932,1.79370426537277,0.0728604
6810,"tmax",2.02098069621108,0.783340811410355,0.784148220632282,2.57729424493434,0.0099577
6810,"tmin",-2.40422192571499,0.678559423494949,0.679259066135833,3.53947712379037,0.0004009
6810,"ppt",-0.00204761430401647,0.00319621760658203,0.00319793790115634,0.640292077990655,0.5219827
6810,"dEDz",0.00181163600448666,0.00777210976078047,0.00777905167001161,0.232886485568742,0.8158496
4740,"(Intercept)",-1.24013386920759,0.235986920388798,0.236388344712773,5.24617180561263,2e-07
4740,"dEDz",-0.285914933423193,0.110241508201717,0.110433735440789,2.58901804128948,0.009625
4740,"tmax",15.7701482591118,5.85856050493301,5.86892518573737,2.68705900314359,0.0072084
4740,"tmin",14.7478717672972,5.10893081172977,5.11796332407416,2.88158996722884,0.0039567
4740,"ppt",-0.0135364156556089,0.0296396150905774,0.0296729462705935,0.456187111726879,0.6482554
5980,"(Intercept)",-0.0808721391215472,0.0574366182716058,0.0574813476590607,1.40692837616168,0.1594486
5980,"dEDz",0.0891805590959279,0.0246393887850549,0.0246694416422105,3.61502138513488,0.0003003
5980,"ppt",0.00362239660784259,0.00566379821788187,0.00566746859399607,0.639156009030212,0.5227214
5980,"tmin",-0.728770455856556,1.23578245898202,1.23661911418566,0.589324916214375,0.5556433
5980,"tmax",0.7407307945357,1.3245102714844,1.32543418873654,0.558858976802006,0.576258
6240,"(Intercept)",0.131175500870394,0.0560618435924821,0.0561110792820475,2.33778252973942,0.0193985
6240,"dEDz",0.0342345588303181,0.0306927350802049,0.0307132989119664,1.11464935526609,0.2650007
6240,"tmin",-0.666413572817004,1.19088334263668,1.1917446868193,0.559191561907125,0.576031
6240,"tmax",0.680767132095109,1.27303387346129,1.27399260455176,0.534357208717571,0.5930944
6240,"ppt",-0.000345500450855829,0.00309429821109265,0.00309818567193275,0.111517025588816,0.9112064
5011,"(Intercept)",-1.97159604481367,0.258395162565825,0.258941421580229,7.61406202523223,0
5011,"tmin",17.5658019121927,6.14331706190655,6.15650112263186,2.85321184261938,0.004328
5011,"ppt",-0.0169568231373651,0.0431991825167835,0.0432650854838332,0.391928571219426,0.695111
5011,"dEDz",-0.000216200899347303,0.0697570566757963,0.0699100678112157,0.00309255742579352,0.9975325
5011,"tmax",0.00598832361388186,3.46511387418584,3.47271819165773,0.00172439089018717,0.9986241
