"aou","temp_range"
2881,7.33
2882,11.735
2890,8.1
2920,9.42
2930,10.43
2940,11.13
2950,15.4
2960,8.8
2970,7.945
2971,7.04
2973,5.56
2980,6.46
3000,8.14
3010,3.4
3020,1.17
3050,6.47
3070,2.78
3080,6.71
3090,7.225
3091,9.60999999999999
3100,10.86
3120,11.035
3131,12.3
3160,13
3180,1.985
3190,9.6
3200,4.73
3210,4.75
3250,12.8
3255,6
3260,7.11
3270,1.5
3280,13.45
3290,3.3
3310,10.905
3320,12.4
3330,12.7
3333,13.17
3340,9.33
3350,6.4
3370,13.8
3380,0
3390,9.9
3400,11.2
3410,1.76
3420,14.5
3430,11.5
3451,12.63
3470,7.58
3480,8.9
3490,12.65
3520,14.8
3540,0
3550,13.05
3560,14.44
3570,6.83
3600,13
3620,3
3640,14.7
3824,0.664999999999998
3840,1.57
3850,11.47
3870,9.6
3875,5.38
3880,7.91499999999999
3920,14.32
3930,13.8
3940,13.2
3950,3.28
3960,9.83
3970,9.24
3990,9.08
4000,6.6
4010,7.7
4020,6.23
4021,9
4022,9.52
4030,9.99999999999998
4040,8.6
4050,13.4
4060,8.8
4070,9.7
4080,10.4
4090,9.1
4100,3.825
4110,9.85
4120,12.3
4123,14.995
4130,13.555
4140,6.7
4220,11.72
4230,10.6
4240,8.335
4250,19.17
4280,11.2
4290,16.1
4300,13.88
4310,15.8
4320,13.58
4330,7.6
4340,6.8
4360,7.4
4390,0.654999999999995
4402,18
4430,5.1
4440,12.1
4447,8.3
4450,1.425
4461,2.2
4470,14
4480,12.65
4490,1.97
4520,10.7
4530,9.07
4540,14.815
4550,10.78
4560,11.4
4570,14.29
4580,15.56
4590,9.5
4610,10.6
4620,12.74
4630,6
4640,11.415
4641,11.6
4642,8.5
4650,7.805
4660,11.1
4661,7.9
4665,8.02
4670,8.03499999999999
4679,16.48
4680,9.035
4689,12.13
4690,10.6
4691,9.65
4710,7.355
4740,12
4750,11.125
4760,7.74
4770,12.1
4780,10.985
4790,0.564999999999998
4810,4.32
4812,10.54
4813,14.665
4820,10.46
4830,1.84
4840,7.3
4860,12.91
4865,8.125
4870,9.4
4880,13.4
4881,5.13
4890,5.84
4900,6.9
4910,9.85
4920,11.14
4930,13.3
4940,7.3
4950,13.5
4960,7.01999999999999
4970,11.505
4980,13.4
5000,10.425
5010,10.2
5011,13.3
5012,10.115
5030,1.81
5040,13.22
5050,12.3
5060,8.555
5070,10.9
5077,14.45
5080,15.5
5090,6.4
5100,10.7
5110,12.2
5120,11.12
5130,4.8
5135,1.41
5140,6.55
5150,7.68
5170,7.6
5180,10.27
5190,12.3
5195,7.905
5210,9.63
5220,7.015
5225,5.14
5270,0
5275,0
5280,7.6
5290,11.5
5300,15.51
5310,10.21
5330,8.5
5360,NA
5380,5.4
5390,5.075
5400,9.8
5420,9.61500000000001
5450,5.71
5460,10.6
5470,6.52
5480,5.9
5491,5.585
5500,6.5
5520,12.9
5540,10.97
5570,7.1
5580,6.505
5590,6.36
5600,13.1
5610,7.8
5620,11.5
5630,9.2
5650,10.805
5660,4.06
5670,7.2
5671,10.7
5677,9.19
5690,11.625
5730,15.15
5738,9.285
5739,9.73
5740,17.1
5750,2.2
5760,5.55
5780,9.345
5800,11.62
5810,11.6
5830,7.485
5840,7.385
5850,9.65999999999998
5860,2.38
5870,9.5
5871,7.35
5880,11.655
5900,10.77
5910,12.46
5911,10.215
5920,7.8
5930,10.1
5935,2.25
5940,7.08
5950,8.965
5960,12.4
5970,8.1
5980,10.2
5990,11.885
6000,7.625
6010,4.1
6040,9
6050,9.57
6070,11.975
6080,8.8
6090,11.2
6100,5.925
6110,11.2
6120,14.04
6121,5.7
6122,2
6130,13.4
6140,11.835
6150,12.87
6160,10.375
6170,13.2
6180,5.1
6190,11.2
6200,14.15
6210,5.65
6220,11.7
6230,0.979999999999995
6240,12.8
6260,4.5
6270,12.4
6280,9.395
6290,9.6
6291,11.26
6292,12.675
6295,6.19
6300,1.63
6310,7.5
6320,11.34
6330,8.8
6340,12.645
6360,12.1
6370,4.8
6380,5.39
6390,8.035
6410,6.6
6412,5.76
6420,4.515
6430,12.5
6440,11.8
6450,6.3
6460,11.345
6470,6.46
6480,11.7
6500,4.7
6510,9.25999999999999
6520,11.87
6540,5.335
6550,7
6556,7.45499999999999
6560,11.01
6570,6.55999999999999
6580,6.935
6590,6.4
6600,4.09
6610,7.54
6620,5.3
6630,6.63
6640,8.76999999999999
6650,11.1
6670,8.05
6680,7.7
6690,8.61999999999999
6710,10.5
6720,5.035
6730,8.23
6740,10.53
6750,7.81
6760,8.5
6770,6.9
6780,4.445
6790,5.7
6800,9.265
6810,13.5
6830,10.9
6840,8.5
6850,9.765
6860,5.4
6870,12.18
6880,8.86
6882,12.6
6883,2.18
6900,9.735
6960,NA
6970,10.76
7000,5.8
7020,10.535
7030,10.9
7040,12
7050,10.3
7060,3.1
7070,9.87499999999999
7080,13.15
7100,9.2
7110,9.23
7120,11.72
7130,9.97
7150,15.475
7170,14.87
7180,8.7
7190,14.3
7210,11.1
7220,3.66
7221,7.9
7222,5.5
7240,8
7250,10.38
7260,8.5
7270,11.815
7280,8.7
7290,3.62
7300,9.555
7310,9
7315,6.18
7320,4.22
7330,9.305
7331,11.19
7340,10.75
7350,10.7
7351,7.235
7352,3.77
7360,6.5
7380,11.73
7400,6.275
7410,9.52
7420,10.325
7430,13.3
7460,9.2
7470,NA
7480,7.58499999999999
7490,7.8
7510,10.3
7520,9.31
7540,10.6
7550,10
7560,7.76499999999999
7570,6.4
7571,2.005
7580,7.5
7590,8.7
7610,13.5
7630,7.44
7660,10.3
7670,11.805
7680,10.465
22860,13.6
