"aou","SPEC"
2890,"NOBO"
3160,"MODO"
3370,"RTHA"
3680,"BADO"
3730,"EASO"
3750,"GHOW"
3870,"YBCU"
3880,"BBCU"
3940,"DOWO"
4060,"RHWO"
4280,"RTHU"
4610,"EAWP"
4770,"BLJA"
4860,"CORA"
4900,"FICR"
4930,"EUST"
4950,"BHCO"
5070,"BAOR"
5110,"COGR"
5290,"AMGO"
5870,"EATO"
5930,"NOCA"
5980,"INBU"
6190,"CEDW"
6280,"YTVI"
6290,"BHVI"
6310,"WEVI"
6370,"PROW"
6570,"MAWA"
6590,"CSWA"
6630,"YTWA"
6670,"BTNW"
6710,"PIWA"
6730,"PRAW"
6810,"COYE"
6830,"YBCH"
6840,"HOWA"
6870,"AMRE"
7040,"GRCA"
7180,"CARW"
7210,"HOWR"
7260,"BRCR"
7290,"BHNU"
7350,"BCCH"
7360,"CACH"
7610,"AMRO"
3390,"RSHA"
3930,"HAWO"
4050,"PIWO"
4090,"RBWO"
4520,"GCFL"
4650,"ACFL"
4880,"AMCR"
5950,"RBGR"
6080,"SCTA"
6100,"SUTA"
6240,"REVI"
6360,"BAWW"
6390,"WEWA"
6480,"NOPA"
6540,"BTBW"
6580,"CERW"
6740,"OVEN"
6750,"NOWA"
6760,"LOWA"
6770,"KEWA"
6860,"CAWA"
7270,"WBNU"
7310,"TUTI"
7510,"BGGN"
7550,"WOTH"
7560,"VEER"
4120,"NOFL"
4160,NA
4171,NA
