"aou","stateroute","dist_from_centroid","bearing"
6190,2001,1734177.39349501,143.623833889184
6190,2004,1839850.11853058,143.651216399101
6190,2010,1972143.79163363,142.215982436258
6190,2015,1881984.95660114,143.749884554324
6190,2016,1834720.12652462,145.317532325909
6190,2017,1891451.75483963,144.3349379533
6190,2023,1943284.12529729,146.752927138044
6190,2046,1838646.20611415,141.685487914444
6190,2047,1895592.47972668,147.014112161971
6190,2072,1756093.68086334,141.887212376124
6190,2073,1793921.54817488,139.418390584496
6190,2109,1864739.39184346,140.340575137186
6190,2111,1938253.80163186,141.065930546779
6190,2201,1771105.0515209,145.866566235922
6190,7007,1642802.01033457,164.586665772117
6190,7019,1482727.66411525,152.875030034008
6190,7022,1466424.26470426,161.364118061476
6190,7024,1459577.86072551,163.76841669736
6190,14007,2055228.79919532,-105.917697267159
6190,14151,1862321.3180689,-106.053063010154
6190,14165,1836933.32082911,-104.505463824016
6190,14181,1944619.0899839,-108.606843383585
6190,14199,1968335.42226561,-104.060445088711
6190,14352,2143733.08619884,-112.611664740094
6190,17004,976277.043785709,-147.046888051048
6190,17010,1171224.09062636,-143.895684441445
6190,17016,1314313.02608846,-142.230963041976
6190,17052,1365938.47206159,-143.310598517798
6190,17154,1315142.04403564,-149.012035644101
6190,17202,1093118.3468798,-139.966513992373
6190,17210,1160660.79629009,-143.323220335464
6190,17308,1258332.70990461,-135.84984296595
6190,17326,1258966.0063614,-155.040744620367
6190,18001,2239802.36272687,99.5112981876223
6190,18003,2179963.82492064,99.1385918137957
6190,18004,2221585.45222525,99.4999825236302
6190,18007,2204137.83147142,98.550482613943
6190,18009,2116262.32363684,100.630543902336
6190,18010,2134218.68025076,102.056745771725
6190,18014,2181654.06769971,99.5780134698019
6190,18015,2161556.10212234,99.8069351499866
6190,18102,2147900.29779548,99.477034595234
6190,18116,2138413.83691781,99.1252502221101
6190,21001,2077712.56805039,108.701549560331
6190,21003,2123043.29048216,109.852747961867
6190,21004,2123534.63851495,109.581914674881
6190,21010,2154179.53952523,110.024700014241
6190,21105,2089271.39990402,108.967207503492
6190,27010,2167422.64178278,141.637859173112
6190,27026,1899870.10376669,136.980594610396
6190,27027,1944461.64223814,138.057097865799
