"id","habitat1","habitat2","importance","occurrence","Common_name","Scientific_name","Synonyms","Alt_common_names","genus","species","species_id","aou","english_common_name","french_common_name","spanish_common_name","sporder","family"
22678305,"Artificial/Terrestrial","Subtropical/Tropical Heavily Degraded Former Forest","suitable","resident","Plain Chachalaca","Ortalis vetula","","","Ortalis","vetula",76,3110,"Plain Chachalaca","Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae"
22678305,"Forest","Subtropical/Tropical Mangrove Vegetation Above High Tide Level","suitable","resident","Plain Chachalaca","Ortalis vetula","","","Ortalis","vetula",76,3110,"Plain Chachalaca","Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae"
22678305,"Forest","Subtropical/Tropical Moist Lowland","suitable","resident","Plain Chachalaca","Ortalis vetula","","","Ortalis","vetula",76,3110,"Plain Chachalaca","Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae"
22678305,"Shrubland","Subtropical/Tropical Dry","major","resident","Plain Chachalaca","Ortalis vetula","","","Ortalis","vetula",76,3110,"Plain Chachalaca","Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae"
22678305,"Shrubland","Subtropical/Tropical Moist","major","resident","Plain Chachalaca","Ortalis vetula","","","Ortalis","vetula",76,3110,"Plain Chachalaca","Ortalide chacamel","Ortalis vetula","Galliformes","Cracidae"
22679591,"Artificial/Terrestrial","Arable Land","marginal","resident","Mountain Quail","Oreortyx pictus","","","Oreortyx","pictus",84,2920,"Mountain Quail","Colin des montagnes","Oreortyx pictus","Galliformes","Odontophoridae"
22679591,"Forest","Temperate","suitable","resident","Mountain Quail","Oreortyx pictus","","","Oreortyx","pictus",84,2920,"Mountain Quail","Colin des montagnes","Oreortyx pictus","Galliformes","Odontophoridae"
22679591,"Shrubland","Mediterranean-type Shrubby Vegetation","suitable","resident","Mountain Quail","Oreortyx pictus","","","Oreortyx","pictus",84,2920,"Mountain Quail","Colin des montagnes","Oreortyx pictus","Galliformes","Odontophoridae"
22728956,"Artificial/Terrestrial","Arable Land","suitable","resident","Northern Bobwhite","Colinus virginianus","","Bobwhite, Bobwhite Quail","Colinus","virginianus",89,2890,"Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae"
22728956,"Artificial/Terrestrial","Pastureland","suitable","resident","Northern Bobwhite","Colinus virginianus","","Bobwhite, Bobwhite Quail","Colinus","virginianus",89,2890,"Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae"
22728956,"Forest","Temperate","suitable","resident","Northern Bobwhite","Colinus virginianus","","Bobwhite, Bobwhite Quail","Colinus","virginianus",89,2890,"Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae"
22728956,"Grassland","Temperate","suitable","resident","Northern Bobwhite","Colinus virginianus","","Bobwhite, Bobwhite Quail","Colinus","virginianus",89,2890,"Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae"
22728956,"Shrubland","Temperate","suitable","resident","Northern Bobwhite","Colinus virginianus","","Bobwhite, Bobwhite Quail","Colinus","virginianus",89,2890,"Northern Bobwhite","Colin de Virginie","Colinus virginianus","Galliformes","Odontophoridae"
22679594,"Grassland","Temperate","major","resident","Scaled Quail","Callipepla squamata","","","Callipepla","squamata",91,2930,"Scaled Quail","Colin ÈcaillÈ","Callipepla squamata","Galliformes","Odontophoridae"
22679594,"Shrubland","Subtropical/Tropical Dry","major","resident","Scaled Quail","Callipepla squamata","","","Callipepla","squamata",91,2930,"Scaled Quail","Colin ÈcaillÈ","Callipepla squamata","Galliformes","Odontophoridae"
22679603,"Artificial/Terrestrial","Arable Land","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Artificial/Terrestrial","Pastureland","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Desert","Hot","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Forest","Temperate","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Grassland","Subtropical/Tropical Dry","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Grassland","Temperate","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Shrubland","Mediterranean-type Shrubby Vegetation","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679603,"Shrubland","Subtropical/Tropical Dry","suitable","resident","California Quail","Callipepla californica","Lophortyx californica","","Callipepla","californica",93,2940,"California Quail","Colin de Californie","Callipepla californica","Galliformes","Odontophoridae"
22679609,"Artificial/Terrestrial","Arable Land","suitable","resident","Gambel's Quail","Callipepla gambelii","Lophortyx gambelii","","Callipepla","gambelii",94,2950,"Gambel's Quail","Colin de Gambel","Callipepla gambelii","Galliformes","Odontophoridae"
22679609,"Desert","Hot","major","resident","Gambel's Quail","Callipepla gambelii","Lophortyx gambelii","","Callipepla","gambelii",94,2950,"Gambel's Quail","Colin de Gambel","Callipepla gambelii","Galliformes","Odontophoridae"
22679609,"Shrubland","Subtropical/Tropical Dry","suitable","resident","Gambel's Quail","Callipepla gambelii","Lophortyx gambelii","","Callipepla","gambelii",94,2950,"Gambel's Quail","Colin de Gambel","Callipepla gambelii","Galliformes","Odontophoridae"
22728212,"Forest","Subtropical/Tropical Moist Montane","major","resident","Montezuma Quail","Cyrtonyx montezumae","","","Cyrtonyx","montezumae",95,2960,"Montezuma Quail","Colin arlequin","Cyrtonyx montezumae","Galliformes","Odontophoridae"
22728212,"Shrubland","Subtropical/Tropical High Altitude","suitable","resident","Montezuma Quail","Cyrtonyx montezumae","","","Cyrtonyx","montezumae",95,2960,"Montezuma Quail","Colin arlequin","Cyrtonyx montezumae","Galliformes","Odontophoridae"
22678691,"Grassland","Temperate","suitable","resident","Chukar","Alectoris chukar","","Chuckar, Chukar Partridge, Perdrix chukar","Alectoris","chukar",99,2882,"Chukar","Perdrix choukar","Alectoris chukar","Galliformes","Phasianidae"
22678691,"Shrubland","Mediterranean-type Shrubby Vegetation","suitable","resident","Chukar","Alectoris chukar","","Chuckar, Chukar Partridge, Perdrix chukar","Alectoris","chukar",99,2882,"Chukar","Perdrix choukar","Alectoris chukar","Galliformes","Phasianidae"
22678911,"Artificial/Terrestrial","Arable Land","suitable","resident","Grey Partridge","Perdix perdix","","Partridge, Gray Partridge","Perdix","perdix",102,2881,"Gray Partridge","Perdrix grise","Perdix perdix","Galliformes","Phasianidae"
22678911,"Grassland","Temperate","suitable","resident","Grey Partridge","Perdix perdix","","Partridge, Gray Partridge","Perdix","perdix",102,2881,"Gray Partridge","Perdrix grise","Perdix perdix","Galliformes","Phasianidae"
22678911,"Shrubland","Temperate","suitable","resident","Grey Partridge","Perdix perdix","","Partridge, Gray Partridge","Perdix","perdix",102,2881,"Gray Partridge","Perdrix grise","Perdix perdix","Galliformes","Phasianidae"
45100023,"Artificial/Terrestrial","Arable Land","suitable","resident","Common Pheasant","Phasianus colchicus","","","Phasianus","colchicus",103,3091,"Ring-necked Pheasant","Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae"
45100023,"Forest","Temperate","suitable","resident","Common Pheasant","Phasianus colchicus","","","Phasianus","colchicus",103,3091,"Ring-necked Pheasant","Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae"
45100023,"Shrubland","Temperate","suitable","resident","Common Pheasant","Phasianus colchicus","","","Phasianus","colchicus",103,3091,"Ring-necked Pheasant","Faisan de Colchide","Phasianus colchicus","Galliformes","Phasianidae"
22679500,"Forest","Boreal","suitable","resident","Ruffed Grouse","Bonasa umbellus","","","Bonasa","umbellus",105,3000,"Ruffed Grouse","GÈlinotte huppÈe","Bonasa umbellus","Galliformes","Phasianidae"
22679500,"Forest","Temperate","suitable","resident","Ruffed Grouse","Bonasa umbellus","","","Bonasa","umbellus",105,3000,"Ruffed Grouse","GÈlinotte huppÈe","Bonasa umbellus","Galliformes","Phasianidae"
22679503,"Shrubland","Temperate","major","resident","Sage Grouse","Centrocercus urophasianus","","Greater Sage Grouse, Greater Sage-Grouse","Centrocercus","urophasianus",106,3090,"Greater Sage-Grouse","TÈtras des armoises","Centrocercus urophasianus","Galliformes","Phasianidae"
22728472,"Shrubland","Temperate","major","resident","Gunnison Grouse ","Centrocercus minimus","","Gunnison Sage-Grouse, Gunnison Grouse, Gunnison Sage Grouse","Centrocercus","minimus",107,3089,"Gunnison Sage-Grouse","TÈtras du Gunnison","Centrocercus minimus","Galliformes","Phasianidae"
61204079,"Forest","Boreal","major","resident","Spruce Grouse","Falcipennis canadensis","","","Falcipennis","canadensis",108,2980,"Spruce Grouse","TÈtras du Canada","Falcipennis canadensis","Galliformes","Phasianidae"
61204079,"Forest","Temperate","suitable","resident","Spruce Grouse","Falcipennis canadensis","","","Falcipennis","canadensis",108,2980,"Spruce Grouse","TÈtras du Canada","Falcipennis canadensis","Galliformes","Phasianidae"
