Common_name,Scientific_name,Synonyms,Alt_common_names,SISRecID,genus,species,alt_genus,alt_spp,species_id,aou,english_common_name,french_common_name,spanish_common_name,sporder,family
NA,NA,NA,NA,22681152,Picoides,scalaris,NA,NA,741,3960,Ladder-backed Woodpecker,Pic arlequin,Picoides scalaris,Piciformes,Picidae
NA,NA,NA,NA,22681149,Picoides,nuttallii,NA,NA,742,3970,Nuttall's Woodpecker,Pic de Nuttall,Picoides nuttallii,Piciformes,Picidae
NA,NA,NA,NA,22681155,Picoides,pubescens,NA,NA,743,3940,Downy Woodpecker,Pic mineur,Picoides pubescens,Piciformes,Picidae
NA,NA,NA,NA,22681166,Picoides,villosus,NA,NA,745,3930,Hairy Woodpecker,Pic chevelu,Picoides villosus,Piciformes,Picidae
NA,NA,NA,NA,22681158,Picoides,borealis,NA,NA,748,3950,Red-cockaded Woodpecker,Pic à face blanche,Picoides borealis,Piciformes,Picidae
NA,NA,NA,NA,22681169,Picoides,albolarvatus,NA,NA,749,3990,White-headed Woodpecker,Pic à tête blanche,Picoides albolarvatus,Piciformes,Picidae
NA,NA,NA,NA,22726404,Colaptes,auratus auratus,NA,NA,755,4120,(Yellow-shafted Flicker) Northern Flicker,Pic flamboyant (groupe auratus),Colaptes auratus auratus,Piciformes,Picidae
NA,NA,NA,NA,22726414,Colaptes,auratus cafer,NA,NA,756,4130,(Red-shafted Flicker) Northern Flicker,Pic flamboyant (groupe cafer),Colaptes auratus cafer,Piciformes,Picidae
NA,NA,NA,NA,NA,Colaptes,auratus auratus x auratus cafer,NA,NA,757,4125,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Colaptes auratus auratus x auratus cafer,Piciformes,Picidae
NA,NA,NA,NA,22681363,Dryocopus,pileatus,NA,NA,761,4050,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Piciformes,Picidae
NA,NA,NA,NA,NA,Aphelocoma,woodhouseii,NA,NA,989,4813,Woodhouse's Scrub-Jay,Geai de Woodhouse,Aphelocoma woodhouseii,Passeriformes,Corvidae
NA,NA,NA,NA,22720702,Coccothraustes,vespertinus,NA,NA,1243,5140,Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,Passeriformes,Fringillidae
NA,NA,NA,NA,NA,Vermivora,cyanoptera x chrysoptera,NA,NA,1257,6412,Brewster's Warbler (Golden-winged x Blue-winged),Paruline de Brewster,Vermivora cyanoptera x chrysoptera,Passeriformes,Parulidae
